UMAP1,UMAP2
5.9615026,-3.8660722
-3.447485,6.016412
-1.4444661,-3.2121391
0.6083433,2.1073198
0.6515884,-9.968597
-0.64735687,0.9269475
1.6803617,-6.0766606
-4.0356884,-4.4900565
-6.0221167,1.580968
5.180184,-2.6224356
-3.974472,9.201713
2.9165378,5.120464
0.729097,2.2666147
-3.484201,8.685311
-2.1292996,2.2763546
-4.8692827,-0.22428533
4.248489,-3.3527188
2.0162942,-9.210759
-2.1191194,3.9625232
-5.801484,4.79472
5.6774282,3.2430325
0.6171783,-7.4097123
5.4135904,3.4912822
-4.39189,-1.1080095
3.8268542,-5.6430373
-6.8134327,12.258612
-2.163498,2.890755
-7.6016116,-5.8491244
14.001422,-0.5088602
-5.4044127,-1.2826916
-4.0741677,3.3723612
4.5375657,0.4826192
0.9295478,-1.436806
-9.419837,1.2923977
1.5202327,2.6442077
-6.5111866,4.3141193
3.066423,-2.7326055
-3.4695327,-9.069827
5.9631834,-3.1758661
-0.3451193,7.212668
-2.876227,7.584387
13.24362,1.8815533
0.18077987,7.6062207
-1.7873744,2.6142006
-4.366873,-7.6783495
-0.6472127,-4.4508705
3.2288501,2.748846
-1.0449013,-7.6418138
-1.3298285,8.406548
-4.261731,-7.324257
-2.531075,13.956689
4.937967,3.3261533
-3.2636907,2.6147616
2.8063283,16.901121
3.2156434,-7.81255
-5.195793,11.970151
0.2851117,8.093342
7.7622967,-6.4807315
-2.3141174,-4.9449716
6.0969367,2.8124611
-2.6864014,-3.942905
2.1422431,2.4441712
3.734858,-7.109017
2.860668,7.134917
-0.28087154,6.729897
6.3508053,3.0997317
-6.375119,-9.030669
-7.2253604,-0.72613114
8.225809,2.7914846
-6.4169827,9.993808
-8.013915,-8.473346
3.493947,6.344823
-5.811271,5.83454
-0.08659755,11.734557
-1.1410062,9.340121
-3.987738,1.9427869
-1.4518988,-1.8365324
5.916298,-5.5660677
-1.6888605,-5.706955
-4.1780524,11.367841
1.2022134,3.0295076
2.4947274,7.439568
-4.9511776,7.9258256
1.4074717,-2.009024
1.0637422,16.451582
4.6451454,-2.7868066
0.37612438,10.509977
7.2433395,-2.642658
-2.2225046,2.4495175
3.6546066,-3.8957543
2.6673348,-0.78405213
3.8229234,2.338869
-6.873822,0.93487203
6.5091085,5.953917
3.6823797,15.588847
-4.5758805,-9.535876
3.7554913,10.70205
3.267394,3.0763135
-5.1627927,-7.1963453
-0.61686635,7.32547
-6.637343,3.2826953
-3.2037804,-2.0405576
-1.2949114,-8.419534
-1.6388797,-4.743958
-2.0645232,-10.797575
-1.8866774,8.980409
-8.290845,-5.816161
-3.7119465,-8.843809
-1.9121981,7.996714
6.4687653,0.7884187
3.5120056,-3.0148642
-7.6649394,-5.7939124
5.9225974,4.114199
-0.71818376,-2.2794833
4.109736,5.047019
-3.2298248,6.3710284
0.44274262,-9.099433
-2.3018644,0.5971928
-2.1151006,-3.9404178
-0.7768652,-1.9766903
8.06456,0.7011703
-3.4514513,-3.6237698
-0.7018098,-3.9590557
