number_of_BBP,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names,Buzz,Burst-pulse
2,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_093900,2,0
0,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094000,0,0
0,D+AP,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094100,0,0
0,AP,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094200,0,0
0,AV+D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101700,0,0
0,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101800,0,0
0,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101900,0,0
0,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_102000,0,0
3,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114000,2,1
1,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114100,0,1
4,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114200,4,0
6,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114300,0,6
3,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114400,1,2
1,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114500,1,0
3,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_114900,3,0
19,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115000,16,3
27,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115100,23,4
17,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115200,16,1
5,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115600,4,1
3,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115700,1,2
2,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115800,2,0
1,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115900,1,0
0,AV,F,DEPL,NC,11/07/2020,4,chalut_blanc,SCW1807_20200711_123400,0,0
4,D,F,DEPL,DOL4,11/07/2020,4,chalut_blanc,SCW1807_20200711_123500,4,0
0,D+AP,F,DEPL,DOL4,11/07/2020,4,chalut_blanc,SCW1807_20200711_123600,0,0
