Fichier Audio,Date,Heure (UTC),T,AV,AV+D,D,D+AP,AP,AP+AV,F,SSF,NSP,CHAS,SOCI,DEPL,SONAR,SIGNAL
12072020/SCW1807_20200712_094100.wav,12/07/2020,9:41,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_094200.wav,12/07/2020,9:42,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_094300.wav,12/07/2020,9:43,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_094400.wav,12/07/2020,9:44,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_100900.wav,12/07/2020,10:9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_101000.wav,12/07/2020,10:10,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_101100.wav,12/07/2020,10:11,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_101200.wav,12/07/2020,10:12,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
12072020/SCW1807_20200712_114800.wav,12/07/2020,11:48,0,0,1,0,0,0,0,0,1,0,0,1,0,0,DOL1
12072020/SCW1807_20200712_114900.wav,12/07/2020,11:49,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DOL1
12072020/SCW1807_20200712_115000.wav,12/07/2020,11:50,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL1
12072020/SCW1807_20200712_115100.wav,12/07/2020,11:51,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL1
12072020/SCW1807_20200712_115200.wav,12/07/2020,11:52,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL1
12072020/SCW1807_20200712_115300.wav,12/07/2020,11:53,0,0,0,0,1,0,0,0,0,1,0,0,1,0,DOL1
12072020/SCW1807_20200712_130900.wav,12/07/2020,13:9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL1
12072020/SCW1807_20200712_131100.wav,12/07/2020,13:11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL1
12072020/SCW1807_20200712_132000.wav,12/07/2020,13:20,0,1,0,0,0,0,0,1,0,0,0,0,1,1,DOL1
12072020/SCW1807_20200712_132100.wav,12/07/2020,13:21,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL1
12072020/SCW1807_20200712_132200.wav,12/07/2020,13:22,0,0,0,0,0,1,0,1,0,0,0,0,1,0,DOL1
12072020/SCW1807_20200712_132600.wav,12/07/2020,13:26,0,1,0,0,0,0,0,0,0,1,0,0,1,0,DOL1
12072020/SCW1807_20200712_132700.wav,12/07/2020,13:27,0,0,1,0,0,0,0,0,0,1,0,0,1,1,DOL1
12072020/SCW1807_20200712_132800.wav,12/07/2020,13:28,0,0,0,1,0,0,0,0,0,1,0,0,1,1,DOL1
12072020/SCW1807_20200712_132900.wav,12/07/2020,13:29,0,0,0,1,0,0,0,0,0,1,0,0,1,1,DOL1
12072020/SCW1807_20200712_133000.wav,12/07/2020,13:30,0,0,0,1,0,0,0,0,0,1,0,0,1,1,DOL1
12072020/SCW1807_20200712_133100.wav,12/07/2020,13:31,0,0,0,1,0,0,0,0,0,1,0,0,1,1,DOL1
12072020/SCW1807_20200712_134200.wav,12/07/2020,13:42,0,0,1,0,0,0,0,1,0,0,0,0,1,0,DOL5
12072020/SCW1807_20200712_134300.wav,12/07/2020,13:43,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL5
12072020/SCW1807_20200712_134400.wav,12/07/2020,13:44,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL5
12072020/SCW1807_20200712_134500.wav,12/07/2020,13:45,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL5
12072020/SCW1807_20200712_134600.wav,12/07/2020,13:46,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL5
12072020/SCW1807_20200712_134900.wav,12/07/2020,13:49,0,0,0,0,0,1,0,1,0,0,0,0,1,0,DOL5
12072020/SCW1807_20200712_135500.wav,12/07/2020,13:55,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_135600.wav,12/07/2020,13:56,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_135700.wav,12/07/2020,13:57,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_135800.wav,12/07/2020,13:58,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_135900.wav,12/07/2020,13:59,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_140000.wav,12/07/2020,14:0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_140100.wav,12/07/2020,14:1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_140200.wav,12/07/2020,14:2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_140300.wav,12/07/2020,14:3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_140400.wav,12/07/2020,14:4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
